equipamento;logradouro;horainicio;horafinal;quant000-009;porcentagem000-009;quant010-019;porcentagem010-019;quant020-029;porcentagem020-029;quant030-039;porcentagem030-039;quant040-049;porcentagem040-049;quant050-059;porcentagem050-059;quant060-069;porcentagem060-069;quant070-079;porcentagem070-079;quant080-089;porcentagem080-089;quant090-099;porcentagem090-099;quant100-200;porcentagem100-200;quanttotal;porcentagemtotal
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;10:00;11:00;148;13,64;317;14,22;269;9,59;2428;7,35;15484;6,45;10746;5,93;530;4,57;67;2,37;23;2,04;2;0,53;1;0,55;30015;6,3
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;11:00;12:00;121;11,15;297;13,32;295;10,51;2396;7,25;14579;6,07;10155;5,6;563;4,85;107;3,78;18;1,59;5;1,32;3;1,65;28539;5,99
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;12:00;13:00;45;4,15;124;5,56;167;5,95;1921;5,81;12611;5,25;10907;6,02;588;5,07;92;3,25;20;1,77;5;1,32;5;2,75;26485;5,56
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;13:00;14:00;55;5,07;89;3,99;122;4,35;2092;6,33;12187;5,08;11072;6,11;588;5,07;104;3,68;25;2,21;3;0,79;2;1,1;26339;5,53
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;14:00;15:00;62;5,71;116;5,2;154;5,49;2505;7,58;14474;6,03;11507;6,35;579;4,99;85;3,01;11;0,97;6;1,59;2;1,1;29501;6,19
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;15:00;16:00;71;6,54;124;5,56;230;8,2;3019;9,14;15851;6,6;11221;6,19;595;5,13;85;3,01;18;1,59;7;1,85;6;3,3;31227;6,55
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;16:00;17:00;81;7,47;125;5,61;193;6,88;3070;9,29;17333;7,22;11274;6,22;558;4,81;92;3,25;9;0,8;4;1,06;7;3,85;32746;6,87
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;17:00;18:00;80;7,37;202;9,06;260;9,27;2951;8,93;20836;8,68;11088;6,12;442;3,81;43;1,52;9;0,8;4;1,06;5;2,75;35920;7,54
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;18:00;19:00;52;4,79;79;3,54;121;4,31;2389;7,23;20212;8,42;10357;5,72;468;4,04;51;1,8;13;1,15;5;1,32;2;1,1;33749;7,08
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;19:00;20:00;50;4,61;62;2,78;58;2,07;1362;4,12;13057;5,44;9276;5,12;505;4,35;75;2,65;17;1,51;5;1,32;2;1,1;24469;5,14
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;20:00;21:00;39;3,59;48;2,15;117;4,17;879;2,66;7204;3;6346;3,5;476;4,1;94;3,33;17;1,51;7;1,85;3;1,65;15230;3,2
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;21:00;22:00;28;2,58;29;1,3;69;2,46;697;2,11;5154;2,15;4948;2,73;467;4,03;85;3,01;20;1,77;4;1,06;3;1,65;11504;2,41
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;22:00;23:00;26;2,4;21;0,94;63;2,25;549;1,66;4063;1,69;4538;2,5;674;5,81;191;6,76;66;5,85;30;7,94;6;3,3;10227;2,15
CTTU-4368 (3LO) do equipamento D23LO000;AV. ENG. JOSE ESTELITA - ENTRE OS PTES. DE ILUM. 19-R E 21-R - S. CENTRO;23:00;23:59;15;1,38;7;0,31;18;0,64;266;0,81;1826;0,76;2676;1,48;714;6,16;271;9,59;111;9,83;40;10,58;25;13,74;5969;1,25
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;00:00;01:00;2;0,09;39;0,24;121;0,15;708;0,23;2441;0,79;2660;2,6;1120;5,99;327;8,66;103;12,34;18;9,73;25;22,94;7564;0,9
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;01:00;02:00;5;0,22;41;0,25;50;0,06;570;0,19;1794;0,58;1962;1,92;885;4,73;344;9,11;84;10,06;24;12,97;13;11,93;5772;0,69
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;02:00;03:00;2;0,09;23;0,14;155;0,19;418;0,14;1169;0,38;1346;1,32;759;4,06;256;6,78;84;10,06;27;14,59;12;11,01;4251;0,51
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;03:00;04:00;2;0,09;30;0,18;205;0,26;304;0,1;974;0,31;1172;1,15;627;3,35;235;6,23;77;9,22;20;10,81;14;12,84;3660;0,44
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;04:00;05:00;4;0,18;23;0,14;92;0,11;451;0,15;1431;0,46;1702;1,66;842;4,5;278;7,37;71;8,5;26;14,05;9;8,26;4929;0,59
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;05:00;06:00;5;0,22;69;0,42;170;0,21;1341;0,44;4559;1,47;4069;3,98;1115;5,96;250;6,62;53;6,35;12;6,49;5;4,59;11648;1,39
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;06:00;07:00;8;0,35;98;0,59;268;0,33;5091;1,66;15667;5,06;7229;7,06;1038;5,55;144;3,82;28;3,35;4;2,16;2;1,83;29577;3,52
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;07:00;08:00;33;1,46;234;1,41;3936;4,91;20078;6,55;21122;6,82;5408;5,28;693;3,71;60;1,59;11;1,32;1;0,54;1;0,92;51577;6,13
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;08:00;09:00;38;1,68;525;3,17;7980;9,96;25668;8,38;17021;5,5;3736;3,65;472;2,52;54;1,43;7;0,84;1;0,54;3;2,75;55505;6,6
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;09:00;10:00;95;4,2;980;5,92;8089;10,1;24032;7,85;15993;5,17;3247;3,17;397;2,12;36;0,95;7;0,84;0;0;1;0,92;52877;6,29
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;10:00;11:00;348;15,39;2024;12,22;8166;10,19;24827;8,1;16159;5,22;3038;2,97;325;1,74;36;0,95;4;0,48;2;1,08;0;0;54929;6,53
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;11:00;12:00;908;40,16;6454;38,97;11614;14,49;18875;6,16;12699;4,1;2662;2,6;335;1,79;40;1,06;2;0,24;0;0;0;0;53589;6,37
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;12:00;13:00;247;10,92;1896;11,45;5741;7,16;21959;7,17;20912;6,75;4882;4,77;542;2,9;74;1,96;5;0,6;3;1,62;1;0,92;56262;6,69
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;13:00;14:00;16;0,71;144;0,87;2151;2,68;19752;6,45;24944;8,06;6371;6,23;800;4,28;87;2,31;15;1,8;3;1,62;2;1,83;54285;6,46
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;14:00;15:00;34;1,5;371;2,24;4517;5,64;24568;8,02;22552;7,28;5539;5,41;634;3,39;61;1,62;12;1,44;1;0,54;0;0;58289;6,93
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;15:00;16:00;38;1,68;377;2,28;4286;5,35;24195;7,9;21998;7,1;5345;5,22;621;3,32;84;2,23;11;1,32;1;0,54;0;0;56956;6,77
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;16:00;17:00;99;4,38;715;4,32;5172;6,45;25003;8,16;21239;6,86;5179;5,06;618;3,31;102;2,7;17;2,04;4;2,16;1;0,92;58149;6,92
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;17:00;18:00;297;13,14;1426;8,61;8019;10,01;25090;8,19;16460;5,32;4024;3,93;537;2,87;93;2,46;15;1,8;1;0,54;0;0;55962;6,66
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;18:00;19:00;46;2,03;707;4,27;7757;9,68;22619;7,38;16065;5,19;3716;3,63;497;2,66;76;2,01;12;1,44;4;2,16;1;0,92;51500;6,12
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;19:00;20:00;7;0,31;88;0,53;747;0,93;9901;3,23;17926;5,79;6215;6,07;781;4,18;129;3,42;22;2,63;0;0;0;0;35816;4,26
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;20:00;21:00;10;0,44;82;0,5;368;0,46;4193;1,37;13123;4,24;6584;6,43;1086;5,81;192;5,09;22;2,63;3;1,62;2;1,83;25665;3,05
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;21:00;22:00;4;0,18;72;0,43;227;0,28;3138;1,02;10540;3,4;6009;5,87;1121;6;179;4,74;37;4,43;6;3,24;0;0;21333;2,54
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;22:00;23:00;4;0,18;90;0,54;158;0,2;2235;0,73;8240;2,66;5968;5,83;1428;7,64;254;6,73;59;7,07;10;5,41;5;4,59;18451;2,19
CTTU-4369 (3LP) do equipamento D23LP000;Av. Cais Santa Rita, proximo ao n.675 - Sentido Centro;23:00;23:59;9;0,4;53;0,32;137;0,17;1310;0,43;4600;1,49;4275;4,18;1425;7,62;383;10,15;77;9,22;14;7,57;12;11,01;12295;1,46
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;00:00;01:00;4;0,15;31;0,34;153;0,68;755;0,51;2709;1,02;2415;2,69;650;5,56;131;7,34;35;11,63;6;11,76;2;8;6891;1,25
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;01:00;02:00;3;0,11;16;0,18;63;0,28;434;0,29;1543;0,58;1705;1,9;499;4,27;117;6,56;37;12,29;11;21,57;0;0;4428;0,8
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;02:00;03:00;0;0;8;0,09;26;0,11;253;0,17;1104;0,41;1256;1,4;434;3,71;138;7,74;26;8,64;5;9,8;2;8;3252;0,59
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;03:00;04:00;0;0;1;0,01;24;0,11;199;0,13;857;0,32;1058;1,18;417;3,57;108;6,05;19;6,31;4;7,84;0;0;2687;0,49
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;04:00;05:00;0;0;8;0,09;22;0,1;332;0,22;1061;0,4;1212;1,35;461;3,94;113;6,33;32;10,63;6;11,76;1;4;3248;0,59
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;05:00;06:00;1;0,04;36;0,4;99;0,44;1328;0,89;4587;1,72;2840;3,17;634;5,42;138;7,74;17;5,65;4;7,84;0;0;9684;1,75
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;06:00;07:00;3;0,11;101;1,12;356;1,57;5201;3,5;13366;5,02;5249;5,85;561;4,8;103;5,77;17;5,65;1;1,96;0;0;24958;4,51
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;07:00;08:00;7;0,25;197;2,18;1410;6,24;7777;5,24;14974;5,62;4872;5,43;504;4,31;77;4,32;13;4,32;1;1,96;1;4;29833;5,4
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;08:00;09:00;154;5,59;566;6,25;1545;6,83;8081;5,44;13449;5,05;4447;4,96;479;4,1;46;2,58;5;1,66;0;0;1;4;28773;5,2
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;09:00;10:00;615;22,33;1650;18,22;2149;9,5;8665;5,83;12288;4,61;3647;4,07;394;3,37;44;2,47;3;1;2;3,92;1;4;29458;5,33
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;10:00;11:00;194;7,04;643;7,1;1871;8,27;10286;6,92;15206;5,71;3981;4,44;429;3,67;41;2,3;4;1,33;0;0;1;4;32656;5,91
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;11:00;12:00;79;2,87;241;2,66;1370;6,06;10442;7,03;16200;6,08;4786;5,34;472;4,04;40;2,24;5;1,66;1;1,96;1;4;33637;6,08
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;12:00;13:00;219;7,95;896;9,9;1755;7,76;9181;6,18;16059;6,03;4852;5,41;437;3,74;41;2,3;4;1,33;0;0;1;4;33445;6,05
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;13:00;14:00;141;5,12;332;3,67;1494;6,61;9719;6,54;15556;5,84;4346;4,85;406;3,47;42;2,35;6;1,99;1;1,96;0;0;32043;5,8
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;14:00;15:00;611;22,19;1799;19,87;2760;12,21;9393;6,32;12019;4,51;3283;3,66;348;2,98;39;2,19;3;1;0;0;0;0;30255;5,47
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;15:00;16:00;493;17,9;1260;13,92;1887;8,34;9236;6,22;14418;5,41;4068;4,54;404;3,45;42;2,35;1;0,33;0;0;0;0;31809;5,75
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;16:00;17:00;178;6,46;567;6,26;1054;4,66;9321;6,27;17212;6,46;5131;5,72;492;4,21;53;2,97;3;1;0;0;2;8;34013;6,15
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;17:00;18:00;10;0,36;124;1,37;557;2,46;9265;6,24;18236;6,85;5306;5,92;558;4,77;57;3,2;8;2,66;1;1,96;0;0;34122;6,17
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;18:00;19:00;8;0,29;93;1,03;659;2,91;10771;7,25;17585;6,6;4648;5,18;485;4,15;52;2,91;9;2,99;0;0;0;0;34310;6,21
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;19:00;20:00;4;0,15;69;0,76;636;2,81;8885;5,98;16682;6,26;4708;5,25;456;3,9;48;2,69;6;1,99;1;1,96;2;8;31497;5,7
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;20:00;21:00;11;0,4;160;1,77;948;4,19;8202;5,52;15593;5,86;4569;5,09;465;3,98;52;2,91;8;2,66;0;0;0;0;30008;5,43
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;21:00;22:00;12;0,44;140;1,55;728;3,22;5295;3,56;11860;4,45;4207;4,69;476;4,07;61;3,42;4;1,33;2;3,92;1;4;22786;4,12
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;22:00;23:00;5;0,18;75;0,83;653;2,89;3661;2,46;8711;3,27;3911;4,36;562;4,81;69;3,87;10;3,32;1;1,96;7;28;17665;3,2
CTTU-4370 (3LQ) do equipamento D23LQ000;Av. Rui Barbosa, n. 1397 - Sentido Av. Gov. Agamenon Magalhães;23:00;23:59;2;0,07;41;0,45;394;1,74;1860;1,25;5025;1,89;3198;3,57;673;5,75;132;7,4;26;8,64;4;7,84;2;8;11357;2,05
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;00:00;01:00;7;1,14;48;1,45;186;1,12;851;0,68;927;1,18;333;3,23;145;5,35;52;7,61;30;12,05;12;14,12;7;11,86;2598;1,09
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;01:00;02:00;3;0,49;38;1,15;109;0,66;539;0,43;568;0,73;257;2,49;110;4,06;47;6,88;27;10,84;5;5,88;4;6,78;1707;0,72
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;02:00;03:00;2;0,32;29;0,88;67;0,41;319;0,26;386;0,49;193;1,87;94;3,47;43;6,3;21;8,43;12;14,12;5;8,47;1171;0,49
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;03:00;04:00;2;0,32;35;1,06;73;0,44;257;0,21;326;0,42;138;1,34;94;3,47;44;6,44;24;9,64;6;7,06;7;11,86;1006;0,42
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;04:00;05:00;8;1,3;30;0,91;64;0,39;255;0,2;302;0,39;112;1,09;70;2,58;37;5,42;14;5,62;6;7,06;4;6,78;902;0,38
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;05:00;06:00;5;0,81;30;0,91;115;0,7;917;0,73;1183;1,51;267;2,59;126;4,65;39;5,71;13;5,22;9;10,59;2;3,39;2706;1,14
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;06:00;07:00;14;2,27;87;2,63;304;1,84;3610;2,89;3162;4,04;447;4,34;132;4,87;31;4,54;5;2,01;1;1,18;1;1,69;7794;3,28
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;07:00;08:00;48;7,79;215;6,5;898;5,43;7817;6,26;4596;5,87;420;4,08;102;3,77;15;2,2;5;2,01;0;0;3;5,08;14119;5,94
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;08:00;09:00;41;6,66;141;4,26;899;5,44;8258;6,61;4807;6,14;470;4,56;83;3,06;20;2,93;5;2,01;2;2,35;0;0;14726;6,2
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;09:00;10:00;25;4,06;171;5,17;899;5,44;8111;6,5;5068;6,47;598;5,8;111;4,1;21;3,07;5;2,01;0;0;1;1,69;15010;6,32
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;10:00;11:00;43;6,98;169;5,11;822;4,97;7836;6,28;5435;6,94;700;6,79;148;5,46;23;3,37;6;2,41;2;2,35;2;3,39;15186;6,39
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;11:00;12:00;33;5,36;166;5,02;774;4,68;7382;5,91;5403;6,9;670;6,5;171;6,31;28;4,1;8;3,21;2;2,35;0;0;14637;6,16
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;12:00;13:00;27;4,38;136;4,11;682;4,12;6978;5,59;5706;7,29;706;6,85;127;4,69;34;4,98;4;1,61;5;5,88;1;1,69;14406;6,06
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;13:00;14:00;26;4,22;144;4,35;725;4,38;6916;5,54;5206;6,65;614;5,96;134;4,95;17;2,49;10;4,02;2;2,35;0;0;13794;5,8
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;14:00;15:00;30;4,87;189;5,72;839;5,07;7244;5,8;5324;6,8;615;5,97;121;4,47;26;3,81;3;1,2;2;2,35;0;0;14393;6,06
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;15:00;16:00;25;4,06;164;4,96;941;5,69;7606;6,09;4962;6,34;620;6,02;122;4,5;18;2,64;3;1,2;4;4,71;0;0;14465;6,09
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;16:00;17:00;40;6,49;236;7,14;1149;6,95;8158;6,53;4541;5,8;550;5,34;128;4,72;26;3,81;6;2,41;2;2,35;0;0;14836;6,24
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;17:00;18:00;59;9,58;299;9,04;1753;10,6;9738;7,8;4145;5,3;479;4,65;106;3,91;24;3,51;6;2,41;2;2,35;1;1,69;16612;6,99
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;18:00;19:00;54;8,77;294;8,89;1822;11,02;9538;7,64;3217;4,11;276;2,68;48;1,77;8;1,17;3;1,2;0;0;1;1,69;15261;6,42
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;19:00;20:00;27;4,38;209;6,32;1277;7,72;7958;6,37;3271;4,18;320;3,11;72;2,66;14;2,05;3;1,2;0;0;0;0;13151;5,53
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;20:00;21:00;24;3,9;159;4,81;802;4,85;5620;4,5;2996;3,83;358;3,47;100;3,69;18;2,64;7;2,81;1;1,18;1;1,69;10086;4,24
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;21:00;22:00;31;5,03;137;4,14;576;3,48;4365;3,5;2748;3,51;352;3,42;117;4,32;21;3,07;7;2,81;1;1,18;4;6,78;8359;3,52
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;22:00;23:00;22;3,57;103;3,11;470;2,84;3035;2,43;2419;3,09;438;4,25;110;4,06;32;4,69;18;7,23;5;5,88;6;10,17;6658;2,8
CTTU-4534 (3RY) do equipamento D23RY000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. SUB -;23:00;23:59;20;3,25;78;2,36;289;1,75;1537;1,23;1581;2,02;371;3,6;138;5,09;45;6,59;16;6,43;4;4,71;9;15,25;4088;1,72
CTTU-4535 (3RZ) do equipamento D23RZ000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. CENT -;00:00;01:00;2;0,66;48;1,29;158;0,92;683;0,59;542;0,8;148;1,88;52;2,94;14;3,77;9;11,69;0;0;3;13,64;1659;0,77
CTTU-4535 (3RZ) do equipamento D23RZ000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. CENT -;01:00;02:00;0;0;35;0,94;99;0,58;404;0,35;317;0,47;95;1,21;48;2,71;17;4,58;6;7,79;4;18,18;3;13,64;1028;0,48
CTTU-4535 (3RZ) do equipamento D23RZ000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. CENT -;02:00;03:00;1;0,33;24;0,64;89;0,52;276;0,24;252;0,37;77;0,98;40;2,26;17;4,58;4;5,19;1;4,55;2;9,09;783;0,37
CTTU-4535 (3RZ) do equipamento D23RZ000;RUA  ARQ LUIZ  NUNES, N 261A  PROX PC BO60575-ESQ C/ 1 TRAV PARIS - S. CENT -;03:00;04:00;4;1,31;23;0,62;62;0,36;201;0,17;158;0,23;66;0,84;24;1,36;11;2,96;4;5,19;2;9,09;2;9,09;557;0,26
